numero,x_utm,y_utm,h,lnk,contadores
6334,1717.171717,3181.818182,10.035,0.255726901,0
5431,1565.656566,2727.272727,10.39,2.388671042,0
8537,1868.686869,4292.929293,10.569,-5.640413387,0
2838,1919.191919,1414.141414,10.871,-1.590812448,0
9337,1868.686869,4696.969697,11.119,-3.501504023,0
8832,1616.161616,4444.444444,11.289,-3.209494963,0
9632,1616.161616,4848.484848,11.393,-1.25811225,0
1227,1363.636364,606.0606061,11.438,-4.007488197,0
9426,1313.131313,4747.474747,11.592,-1.420885806,0
9726,1313.131313,4898.989899,11.608,-2.51090161,0
2332,1616.161616,1161.616162,11.772,-2.233525557,0
6024,1212.121212,3030.30303,11.888,0.319979839,0
7524,1212.121212,3787.878788,11.891,-2.794899773,0
6222,1111.111111,3131.313131,12.134,-0.040603268,0
227,1363.636364,101.010101,12.236,-4.231402165,0
9719,959.5959596,4898.989899,12.3,-2.951791946,0
5323,1161.616162,2676.767677,12.492,-2.583794823,0
8518,909.0909091,4292.929293,12.568,-4.123917565,0
8216,808.0808081,4141.414141,12.651,-6.445594827,0
9217,858.5858586,4646.464646,12.814,-2.39960273,0
2734,1717.171717,1363.636364,12.834,-1.213888469,0
8816,808.0808081,4444.444444,13.012,-3.231505241,0
6716,808.0808081,3383.838384,13.1,-2.251131811,0
8512,606.0606061,4292.929293,13.244,-5.18930154,0
6614,707.0707071,3333.333333,13.374,-0.851908473,0
3333,1666.666667,1666.666667,13.393,-1.177590563,0
6513,656.5656566,3282.828283,13.602,-1.462700356,0
9813,656.5656566,4949.494949,13.667,-3.625416511,0
4724,1212.121212,2373.737374,13.862,-2.545204575,0
2228,1414.141414,1111.111111,13.87,-3.834599108,0
9811,555.5555556,4949.494949,14.038,-3.827314278,0
3728,1414.141414,1868.686869,14.073,-0.305004578,0
6009,454.5454545,3030.30303,14.223,-0.657895874,0
5412,606.0606061,2727.272727,14.238,-0.756598293,0
5115,757.5757576,2575.757576,14.47,-1.491121686,0
620,1010.10101,303.030303,14.525,-4.292624784,0
8409,454.5454545,4242.424242,14.691,-7.455590728,0
8509,454.5454545,4292.929293,14.758,-7.436999488,0
4914,707.0707071,2474.747475,14.776,-0.076503146,0
3924,1212.121212,1969.69697,14.814,-0.815902558,0
520,1010.10101,252.5252525,14.815,-3.268407514,0
1520,1010.10101,757.5757576,14.82,-2.455596422,0
4718,909.0909091,2373.737374,14.908,0.179066264,0
5009,454.5454545,2525.252525,14.935,-1.219289508,0
4414,707.0707071,2222.222222,15.053,2.684372074,0
2926,1313.131313,1464.646465,15.055,-0.907108022,0
2123,1161.616162,1060.606061,15.219,-1.149516185,0
4021,1060.606061,2020.20202,15.219,-2.040682474,0
3622,1111.111111,1818.181818,15.437,-1.391507928,0
3224,1212.121212,1616.161616,15.531,-1.014206804,0
4109,454.5454545,2070.707071,15.61,0.07399368,0
4907,353.5353535,2474.747475,15.806,-1.98580549,0
3521,1060.606061,1767.676768,15.916,-1.739888342,0
1717,858.5858586,858.5858586,15.966,-3.298514448,0
3716,808.0808081,1868.686869,16.072,-0.810895217,0
9307,353.5353535,4696.969697,16.14,-4.693804698,0
2219,959.5959596,1111.111111,16.255,-1.825419671,0
8106,303.030303,4090.909091,16.307,-5.581502897,0
2920,1010.10101,1464.646465,16.348,1.603902621,0
3018,909.0909091,1515.151515,16.45,2.586861372,0
411,555.5555556,202.020202,16.521,-1.737100844,0
2814,707.0707071,1414.141414,16.652,1.460102288,0
4406,303.030303,2222.222222,16.663,-0.998097495,0
2810,505.0505051,1414.141414,16.757,2.595180077,0
2710,505.0505051,1363.636364,16.762,3.203396638,0
